"Zip Code","Name","Accounts","EIEC","S1901_C01_001E","S1901_C01_012E"
"60452","Oak Forest, IL",11477,"n","10048","90812"
"60453","Oak Lawn, IL",25186,"y","21984","77221"
"60455","Bridgeview, IL",6939,"n","6182","61273"
"60456","Hometown, IL",1992,"n","1907","56841"
"60457","Hickory Hills, IL",5962,"y","5288","81723"
"60458","Justice, IL",5778,"y","4986","59077"
"60459","Burbank, IL",10175,"y","9463","81060"
"60460","Odell, IL",674,"n","555","78424"
"60461","Olympia Fields, IL",2328,"y","1883","99125"
"60462","Orland Park, IL",17841,"n","16074","94689"
"60463","Palos Heights, IL",6715,"n","5323","102773"
"60464","Palos Park, IL",3759,"n","3795","127686"
"60465","Palos Hills, IL",8395,"y","7356","79306"
"60466","Park Forest, IL",9813,"y","8052","59291"
"60467","Orland Park, IL",9742,"n","9690","103175"
"60468","Peotone, IL",2477,"n","2251","94620"
"60469","Posen, IL",2021,"y","1598","60375"
"60470","Ransom, IL",271,"n","160","66500"
"60471","Richton Park, IL",5276,"y","5189","71432"
"60472","Robbins, IL",1872,"n","1433","47120"
"60473","South Holland, IL",8732,"y","7719","80893"
"60474","South Wilmington, IL",400,"n","281","87188"
"60475","Steger, IL",4538,"n","4285","60220"
"60476","Thornton, IL",1154,"y","916","65714"
"60477","Tinley Park, IL",18225,"n","15266","90712"
"60478","Country Club Hills, IL",6100,"y","5545","73395"
"60479","Verona, IL",295,"n","303","100250"
"60480","Willow Springs, IL",2629,"n","2353","98659"
"60481","Wilmington, IL",5793,"n","4691","73223"
"60482","Worth, IL",5108,"n","4535","53993"
"60484","University Park, IL",2535,"n","2429","62570"
"60487","Tinley Park, IL",9105,"n","9026","129129"
"60490","Bolingbrook, IL",6177,"n","6413","146551"
"60491","Homer Glen, IL",7202,"n","7560","132110"
"60501","Summit Argo, IL",4200,"y","3807","55429"
"60502","Aurora, IL",8306,"n","8331","146855"
"60503","Aurora, IL",5107,"n","5098","140723"
"60504","Aurora, IL",15439,"n","13754","92760"
"60505","Aurora, IL",17731,"y","17930","63417"
"60506","Aurora, IL",19599,"y","17784","71560"
"60507","Aurora, IL",7,"y",NA,NA
"60510","Batavia, IL",951,"n","10440","114323"
"60511","Big Rock, IL",805,"n","628","113065"
"60512","Bristol, IL",486,"n","330","100927"
"60513","Brookfield, IL",8438,"n","7742","98984"
"60514","Clarendon Hills, IL",4507,"n","3812","108175"
"60515","Downers Grove, IL",14265,"n","11803","116601"
"60516","Downers Grove, IL",12143,"n","11468","113032"
"60517","Woodridge, IL",14627,"n","12778","95145"
"60518","Earlville, IL",1303,"n","1512","69309"
"60519","Eola, IL",38,"n","34","107083"
"60520","Hinckley, IL",1226,"n","1121","87589"
"60521","Hinsdale, IL",7724,"n","6079","242462"
"60523","Oak Brook, IL",5468,"n","4399","106185"
"60525","La Grange, IL",14548,"n","12500","108941"
"60526","La Grange Park, IL",5424,"n","5197","113210"
"60527","Willowbrook, IL",11782,"y","12111","115318"
"60530","Lee, IL",277,"n","247","99205"
"60531","Leland, IL",792,"n","850","75000"
"60532","Lisle, IL",13605,"n","12945","96935"
"60534","Lyons, IL",4688,"y","4022","59327"
"60538","Montgomery, IL",9539,"n","9617","91591"
"60539","Mooseheart, IL",1,"n","0","-"
"60540","Naperville, IL",2412,"n","15577","143912"
"60541","Newark, IL",458,"n","1096","111667"
"60542","North Aurora, IL",6667,"n","6962","105450"
"60543","Oswego, IL",13586,"n","14398","108924"
"60544","Plainfield, IL",11047,"n","10214","103667"
"60545","Plano, IL",4974,"n","4703","88750"
"60546","Riverside, IL",7210,"n","6324","106967"
"60548","Sandwich, IL",5239,"n","4354","82607"
"60550","Shabbona, IL",622,"n","512","75943"
"60551","Sheridan, IL",51,"n","1409","82277"
"60552","Somonauk, IL",1860,"n","1668","120944"
"60553","Steward, IL",327,"n","248","100000"
"60554","Sugar Grove, IL",4117,"n","4523","117580"
"60555","Warrenville, IL",5998,"n","5681","95346"
"60556","Waterman, IL",886,"n","746","85417"
"60558","Western Springs, IL",4854,"n","4521","198836"
"60559","Westmont, IL",12228,"n","10031","88290"
"60560","Yorkville, IL",9044,"n","9232","106543"
"60561","Darien, IL",10350,"n","9343","110061"
"60563","Naperville, IL",1971,"n","15830","106328"
"60564","Naperville, IL",2210,"n","15344","170630"
"60565","Naperville, IL",406,"n","13659","155179"
"60566","Naperville, IL",1,"n",NA,NA
"60585","Plainfield, IL",6779,"n","7534","153026"
"60586","Plainfield, IL",5088,"n","13928","123780"
"60598","Aurora, IL",1,"n",NA,NA
"60601","Chicago, IL",10302,"n","9252","121294"
"60602","Chicago, IL",1494,"n","468","167617"
"60603","Chicago, IL",1488,"n","674","124888"
"60604","Chicago, IL",1049,"n","452","76667"
"60605","Chicago, IL",15408,"n","18817","116462"
"60606","Chicago, IL",5038,"n","2666","133333"
"60607","Chicago, IL",15073,"n","13474","119500"
"60608","Chicago, IL",28581,"y","29081","66821"
"60609","Chicago, IL",21790,"y","22973","47209"
"60610","Chicago, IL",24332,"n","25622","106277"
"60611","Chicago, IL",25905,"n","23054","126812"
"60612","Chicago, IL",15208,"y","14255","58858"
"60613","Chicago, IL",29718,"n","28437","92238"
"60614","Chicago, IL",39082,"n","34068","135364"
"60615","Chicago, IL",20934,"n","22490","56518"
"60616","Chicago, IL",25656,"y","24744","72326"
"60617","Chicago, IL",30893,"y","30306","51203"
"60618","Chicago, IL",40385,"y","37060","100976"
"60619","Chicago, IL",29624,"y","28103","42802"
"60620","Chicago, IL",27240,"y","26150","46472"
"60621","Chicago, IL",12510,"y","11134","30163"
"60622","Chicago, IL",30311,"n","25088","119134"
"60623","Chicago, IL",26904,"y","26964","37814"
"60624","Chicago, IL",13362,"y","13358","31768"
"60625","Chicago, IL",32782,"n","31234","83527"
"60626","Chicago, IL",23610,"y","23460","56145"
"60627","Riverdale, IL",2,"n",NA,NA
"60628","Chicago, IL",26093,"y","23332","48601"
"60629","Chicago, IL",31858,"y","33825","53318"
"60630","Chicago, IL",22965,"y","21340","91135"
"60631","Chicago, IL",13767,"n","11977","112974"
"60632","Chicago, IL",25638,"y","26662","53966"
"60633","Chicago, IL",5505,"y","4951","54956"
"60634","Chicago, IL",28492,"n","27488","82771"
"60635","Chicago, IL",1,"n",NA,NA
"60636","Chicago, IL",12075,"y","11334","30451"
"60637","Chicago, IL",20779,"y","22272","37247"
"60638","Chicago, IL",22178,"y","20642","85374"
"60639","Chicago, IL",26281,"y","26601","54969"
"60640","Chicago, IL",33851,"y","37129","69397"
"60641","Chicago, IL",26943,"y","25018","79884"
"60642","Chicago, IL",10565,"y","11044","137853"
"60643","Chicago, IL",19771,"y","18197","80461"
"60644","Chicago, IL",16569,"y","18557","34177"
"60645","Chicago, IL",17839,"y","17000","73726"
"60646","Chicago, IL",11810,"y","10806","112283"
"60647","Chicago, IL",38047,"n","37624","97550"
"60649","Chicago, IL",22477,"y","24076","39862"
"60650","Cicero, IL",2,"n",NA,NA
"60651","Chicago, IL",20473,"y","20754","48532"
"60652","Chicago, IL",13809,"y","13643","76300"
"60653","Chicago, IL",14803,"y","16967","35136"
"60654","Chicago, IL",13656,"n","15073","138279"
"60655","Chicago, IL",11271,"n","10672","115324"
"60656","Chicago, IL",13015,"n","12524","82992"
"60657","Chicago, IL",41452,"n","38694","105428"
"60658","Chicago, IL",6,"n",NA,NA
"60659","Chicago, IL",15335,"n","13657","64202"
"60660","Chicago, IL",21460,"n","21002","63596"
"60661","Chicago, IL",7091,"n","7234","139748"
"60666","Chicago, IL",213,"n",NA,NA
"60668","Chicago, IL",1,"n",NA,NA
"60673","Chicago, IL",6,"n",NA,NA
"60675","Chicago, IL",1,"n",NA,NA
"60677","Chicago, IL",1,"n",NA,NA
"60678","Chicago, IL",3,"n",NA,NA
"60680","Chicago, IL",6,"n",NA,NA
"60681","Chicago, IL",1,"n",NA,NA
"60689","Chicago, IL",1,"n",NA,NA
"60690","Chicago, IL",8,"n",NA,NA
"60691","Chicago, IL",3,"n",NA,NA
"60693","Chicago, IL",2,"n",NA,NA
"60696","Chicago, IL",7,"n",NA,NA
"60699","Chicago, IL",3,"y",NA,NA
"60701","Chicago, IL",2,"y",NA,NA
"60706","Harwood Heights, IL",10268,"n","9448","81678"
"60707","Elmwood Park, IL",17566,"y","15767","76343"
"60712","Lincolnwood, IL",5040,"n","4669","99390"
"60714","Niles, IL",13902,"y","11391","76052"
"60803","Alsip, IL",10434,"y","9082","62992"
"60804","Cicero, IL",23473,"y","24600","64325"
"60805","Evergreen Park, IL",8264,"y","7449","92266"
"60827","Riverdale, IL",9179,"y","9347","35835"
"60901","Kankakee, IL",15317,"y","13145","52915"
"60910","Aroma Park, IL",268,"n","229","58438"
"60912","Beaverville, IL",8,"n","264","62727"
"60913","Bonfield, IL",652,"n","655","82188"
"60914","Bourbonnais, IL",11264,"n","9621","85275"
"60915","Bradley, IL",5393,"n","4048","53243"
"60916","-",1,"-",NA,NA
"60917","Buckingham, IL",209,"n","167","77969"
"60919","Cabery, IL",205,"n","228","85208"
"60920","Campus, IL",93,"n","81","78750"
"60922","Chebanse, IL",212,"n","971","72917"
"60929","Cullom, IL",1,"n","267","58698"
"60934","Emington, IL",72,"n","78","98750"
"60935","Essex, IL",584,"n","399","105583"
"60940","Grant Park, IL",1300,"n","1096","90385"
"60941","Herscher, IL",861,"n","617","82227"
"60944","Hopkins Park, IL",117,"y",NA,NA
"60946","Kempton, IL",129,"n","165","68083"
"60950","Manteno, IL",5184,"n","5233","80325"
"60954","Momence, IL",2904,"n","2230","54495"
"60958","Pembroke Township, IL",560,"y","650","41250"
"60961","Reddick, IL",238,"n","359","54760"
"60964","Saint Anne, IL",2385,"n","1841","74087"
"60969","Union Hill, IL",34,"n","23","112750"
"61001","Apple River, IL",323,"n","568","75909"
"61006","Ashton, IL",838,"n","619","69028"
"61007","Baileyville, IL",207,"n","143","66719"
"61008","Belvidere, IL",13491,"y","12756","69945"
"61010","Byron, IL",3355,"n","2824","83750"
"61011","Caledonia, IL",1070,"n","956","152250"
"61012","Capron, IL",846,"n","764","95938"
"61013","Cedarville, IL",327,"n","290","65417"
"61014","Chadwick, IL",103,"n","444","66019"
"61015","Chana, IL",430,"n","313","78250"
"61016","Cherry Valley, IL",2314,"n","2114","97500"
"61018","Dakota, IL",502,"n","369","73828"
"61019","Davis, IL",1950,"n","1234","97813"
"61020","Davis Junction, IL",1069,"n","1009","86938"
"61021","Dixon, IL",10912,"n","9130","59930"
"61024","Durand, IL",1235,"n","972","73861"
"61026","Rockford, IL",2,"-",NA,NA
"61027","Eleroy, IL",40,"n","32","61333"
"61028","Elizabeth, IL",27,"n","810","70703"
"61030","Forreston, IL",1125,"n","862","66696"
"61031","Franklin Grove, IL",723,"n","620","72639"
"61032","Freeport, IL",15175,"y","13266","49346"
"61037","Galt, IL",69,"n","52","66375"
"61038","Garden Prairie, IL",588,"n","343","94267"
"61039","German Valley, IL",379,"n","300","84167"
"61042","Harmon, IL",258,"n","169","67292"
"61043","Holcomb, IL",75,"n","50","58750"
"61044","Kent, IL",147,"n","98","54091"
"61046","Lanark, IL",1176,"n","1152","89100"
"61047","Leaf River, IL",924,"n","628","78250"
"61048","Lena, IL",2078,"n","1619","73313"
"61049","Lindenwood, IL",205,"n","208","82917"
"61050","MC Connell, IL",194,"n","124","108750"
"61051","Milledgeville, IL",860,"n","657","62232"
"61052","Monroe Center, IL",447,"n","429","87361"
"61053","Mount Carroll, IL",21,"n","1132","63710"
"61054","Mount Morris, IL",1991,"n","1776","48387"
"61057","Nachusa, IL",63,"n","26","-"
"61058","Nelson, IL",6,"n",NA,NA
"61059","Nora, IL",81,"n","65","51473"
"61060","Orangeville, IL",727,"n","601","70451"
"61061","Oregon, IL",3716,"n","3063","83343"
"61062","Pearl City, IL",903,"n","719","77937"
"61063","Pecatonica, IL",2281,"n","1646","86136"
"61064","Polo, IL",1881,"n","1679","71647"
"61065","Poplar Grove, IL",3862,"n","3518","109226"
"61067","Ridott, IL",360,"n","327","53512"
"61068","Rochelle, IL",340,"n","5902","64828"
"61070","Rock City, IL",483,"n","530","86429"
"61071","Rock Falls, IL",1306,"n","5865","55478"
"61072","Rockton, IL",840,"n","4217","108681"
"61073","Roscoe, IL",7147,"n","7138","98585"
"61075","Scales Mound, IL",355,"n","433","68625"
"61077","Seward, IL",58,"n","61","-"
"61078","Shannon, IL",727,"n","458","72794"
"61079","Shirland, IL",42,"n","97","44034"
"61080","South Beloit, IL",43,"n","4423","77386"
"61081","Sterling, IL",10215,"n","8831","57618"
"61084","Stillman Valley, IL",1229,"n","1189","90605"
"61085","Stockton, IL",1728,"n","1345","57156"
"61087","Warren, IL",887,"n","690","72778"
"61088","Winnebago, IL",2130,"n","2349","93507"
"61089","Winslow, IL",420,"n","265","65446"
"61091","Woosung, IL",62,"n","0","-"
"61101","Rockford, IL",9210,"y","7947","45363"
